"","code","title","timing","scope","severity","score","invasive","species","X.y","Sequence","Family1","Order1","Avibase.ID1","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","result.taxonid","category.n"
"1","2.1","Annual & perennial non-timber crops","Ongoing","Minority (<50%)","Unknown","Unknown",NA,"Acrocephalus orinus",2872,7559,"Acrocephalidae","Passeriformes","AVIBASE-6A9ED1BF",4,2,2,0,3,16.8,9.6,4,3.1,21.8,58,11.8,46.2,20.3,55.4,24.2,"Dunning",NA,"NO",NA,NA,"Wetland",3,3,"Carnivore","Invertivore","Insessorial",36.08,38.8,37.13,71.38,15471.91,22729551,0
"2","2.1.2","Small-holder farming","Ongoing","Minority (<50%)","Unknown","Unknown",NA,"Acrocephalus orinus",2872,7559,"Acrocephalidae","Passeriformes","AVIBASE-6A9ED1BF",4,2,2,0,3,16.8,9.6,4,3.1,21.8,58,11.8,46.2,20.3,55.4,24.2,"Dunning",NA,"NO",NA,NA,"Wetland",3,3,"Carnivore","Invertivore","Insessorial",36.08,38.8,37.13,71.38,15471.91,22729551,0
"3","2.3","Livestock farming & ranching","Ongoing","Minority (<50%)","Unknown","Unknown",NA,"Acrocephalus orinus",2872,7559,"Acrocephalidae","Passeriformes","AVIBASE-6A9ED1BF",4,2,2,0,3,16.8,9.6,4,3.1,21.8,58,11.8,46.2,20.3,55.4,24.2,"Dunning",NA,"NO",NA,NA,"Wetland",3,3,"Carnivore","Invertivore","Insessorial",36.08,38.8,37.13,71.38,15471.91,22729551,0
"4","2.3.2","Small-holder grazing, ranching or farming","Ongoing","Minority (<50%)","Unknown","Unknown",NA,"Acrocephalus orinus",2872,7559,"Acrocephalidae","Passeriformes","AVIBASE-6A9ED1BF",4,2,2,0,3,16.8,9.6,4,3.1,21.8,58,11.8,46.2,20.3,55.4,24.2,"Dunning",NA,"NO",NA,NA,"Wetland",3,3,"Carnivore","Invertivore","Insessorial",36.08,38.8,37.13,71.38,15471.91,22729551,0
"5","2.4","Marine & freshwater aquaculture","Ongoing","Minority (<50%)","Unknown","Unknown",NA,"Acrocephalus orinus",2872,7559,"Acrocephalidae","Passeriformes","AVIBASE-6A9ED1BF",4,2,2,0,3,16.8,9.6,4,3.1,21.8,58,11.8,46.2,20.3,55.4,24.2,"Dunning",NA,"NO",NA,NA,"Wetland",3,3,"Carnivore","Invertivore","Insessorial",36.08,38.8,37.13,71.38,15471.91,22729551,0
"6","2.4.3","Scale Unknown/Unrecorded","Ongoing","Minority (<50%)","Unknown","Unknown",NA,"Acrocephalus orinus",2872,7559,"Acrocephalidae","Passeriformes","AVIBASE-6A9ED1BF",4,2,2,0,3,16.8,9.6,4,3.1,21.8,58,11.8,46.2,20.3,55.4,24.2,"Dunning",NA,"NO",NA,NA,"Wetland",3,3,"Carnivore","Invertivore","Insessorial",36.08,38.8,37.13,71.38,15471.91,22729551,0
"7","5.3","Logging & wood harvesting","Ongoing","Minority (<50%)","Unknown","Unknown",NA,"Acrocephalus orinus",2872,7559,"Acrocephalidae","Passeriformes","AVIBASE-6A9ED1BF",4,2,2,0,3,16.8,9.6,4,3.1,21.8,58,11.8,46.2,20.3,55.4,24.2,"Dunning",NA,"NO",NA,NA,"Wetland",3,3,"Carnivore","Invertivore","Insessorial",36.08,38.8,37.13,71.38,15471.91,22729551,0
"8","5.3.3","Unintentional effects: (subsistence/small scale) [harvest]","Ongoing","Minority (<50%)","Unknown","Unknown",NA,"Acrocephalus orinus",2872,7559,"Acrocephalidae","Passeriformes","AVIBASE-6A9ED1BF",4,2,2,0,3,16.8,9.6,4,3.1,21.8,58,11.8,46.2,20.3,55.4,24.2,"Dunning",NA,"NO",NA,NA,"Wetland",3,3,"Carnivore","Invertivore","Insessorial",36.08,38.8,37.13,71.38,15471.91,22729551,0
"9","2.1","Annual & perennial non-timber crops","Ongoing","Minority (<50%)","Unknown","Unknown",NA,"Aegotheles affinis",494,1096,"Aegothelidae","Caprimulgiformes","AVIBASE-3CDD6AA9",3,1,2,0,3,17.6,6.2,5.3,4.2,20.4,133.7,39.5,94.3,29.5,115.4,60,"DataFromSplit",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-6.34,-0.79,-3.25,138.45,1146.69,60814512,0
"10","2.1.1","Shifting agriculture","Ongoing","Minority (<50%)","Unknown","Unknown",NA,"Aegotheles affinis",494,1096,"Aegothelidae","Caprimulgiformes","AVIBASE-3CDD6AA9",3,1,2,0,3,17.6,6.2,5.3,4.2,20.4,133.7,39.5,94.3,29.5,115.4,60,"DataFromSplit",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-6.34,-0.79,-3.25,138.45,1146.69,60814512,0
"11","5.3","Logging & wood harvesting","Ongoing","Minority (<50%)","Unknown","Unknown",NA,"Aegotheles affinis",494,1096,"Aegothelidae","Caprimulgiformes","AVIBASE-3CDD6AA9",3,1,2,0,3,17.6,6.2,5.3,4.2,20.4,133.7,39.5,94.3,29.5,115.4,60,"DataFromSplit",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-6.34,-0.79,-3.25,138.45,1146.69,60814512,0
"12","5.3.4","Unintentional effects: (large scale) [harvest]","Ongoing","Minority (<50%)","Unknown","Unknown",NA,"Aegotheles affinis",494,1096,"Aegothelidae","Caprimulgiformes","AVIBASE-3CDD6AA9",3,1,2,0,3,17.6,6.2,5.3,4.2,20.4,133.7,39.5,94.3,29.5,115.4,60,"DataFromSplit",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-6.34,-0.79,-3.25,138.45,1146.69,60814512,0
"13","5.3","Logging & wood harvesting","Ongoing","Minority (<50%)","Unknown",NA,NA,"Aegotheles tatei",502,1093,"Aegothelidae","Caprimulgiformes","AVIBASE-EBD55D2E",1,1,0,0,1,20,7.4,7.5,5,16.1,145.8,40.2,105.6,27.6,130.2,52,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-10.44,-5.74,-6.95,143.23,3664.11,22728459,0
"14","5.3.3","Unintentional effects: (subsistence/small scale) [harvest]","Ongoing","Minority (<50%)","Unknown",NA,NA,"Aegotheles tatei",502,1093,"Aegothelidae","Caprimulgiformes","AVIBASE-EBD55D2E",1,1,0,0,1,20,7.4,7.5,5,16.1,145.8,40.2,105.6,27.6,130.2,52,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-10.44,-5.74,-6.95,143.23,3664.11,22728459,0
"15","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA,"Aerodramus orientalis",516,1151,"Apodidae","Caprimulgiformes","AVIBASE-49FEFB24",1,0,1,0,1,7.6,3.7,2.9,2.6,10.9,125.2,84.8,40.4,67.7,48.2,13.4,"EltonTraits_GenAvg",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Aerial",-9.89,-2.94,-6.51,155.95,4385.9,22686555,0
"16","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA,"Aerodramus whiteheadi",526,1149,"Apodidae","Caprimulgiformes","AVIBASE-239F660C",1,0,1,0,1,8.7,3,2.9,2.2,10.7,136,94.1,41.9,69.2,50,14,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Aerial",5.91,17.83,13.11,122.43,11703.85,22686549,0
"17","2.1","Annual & perennial non-timber crops","Ongoing","Unknown","Unknown",NA,NA,"Aerodramus whiteheadi",526,1149,"Apodidae","Caprimulgiformes","AVIBASE-239F660C",1,0,1,0,1,8.7,3,2.9,2.2,10.7,136,94.1,41.9,69.2,50,14,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Aerial",5.91,17.83,13.11,122.43,11703.85,22686549,0
"18","2.1.1","Shifting agriculture","Ongoing","Unknown","Unknown",NA,NA,"Aerodramus whiteheadi",526,1149,"Apodidae","Caprimulgiformes","AVIBASE-239F660C",1,0,1,0,1,8.7,3,2.9,2.2,10.7,136,94.1,41.9,69.2,50,14,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Aerial",5.91,17.83,13.11,122.43,11703.85,22686549,0
"19","5.3","Logging & wood harvesting","Ongoing","Unknown","Unknown",NA,NA,"Aerodramus whiteheadi",526,1149,"Apodidae","Caprimulgiformes","AVIBASE-239F660C",1,0,1,0,1,8.7,3,2.9,2.2,10.7,136,94.1,41.9,69.2,50,14,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Aerial",5.91,17.83,13.11,122.43,11703.85,22686549,0
"20","5.3.3","Unintentional effects: (subsistence/small scale) [harvest]","Ongoing","Unknown","Unknown",NA,NA,"Aerodramus whiteheadi",526,1149,"Apodidae","Caprimulgiformes","AVIBASE-239F660C",1,0,1,0,1,8.7,3,2.9,2.2,10.7,136,94.1,41.9,69.2,50,14,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Aerial",5.91,17.83,13.11,122.43,11703.85,22686549,0
"21","5.3","Logging & wood harvesting","Ongoing","Unknown","Unknown",NA,NA,"Apus sladeniae",545,1195,"Apodidae","Caprimulgiformes","AVIBASE-8B5BD4F2",3,0,3,0,3,12.8,4.7,3.5,3,13.6,177,127.1,49.9,71.8,78.3,42.8,"Dunning",NA,"NO",NA,NA,"Rock",1,NA,"Carnivore","Invertivore","Aerial",-13.33,6.7,-11.92,14.98,12587.31,22686825,0
"22","5.3.4","Unintentional effects: (large scale) [harvest]","Ongoing","Unknown","Unknown",NA,NA,"Apus sladeniae",545,1195,"Apodidae","Caprimulgiformes","AVIBASE-8B5BD4F2",3,0,3,0,3,12.8,4.7,3.5,3,13.6,177,127.1,49.9,71.8,78.3,42.8,"Dunning",NA,"NO",NA,NA,"Rock",1,NA,"Carnivore","Invertivore","Aerial",-13.33,6.7,-11.92,14.98,12587.31,22686825,0
"23","2.1","Annual & perennial non-timber crops","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Bathmocercus cerviniventris",3290,7495,"Cisticolidae","Passeriformes","AVIBASE-8EDC9B24",5,1,4,0,3,14.4,8.6,3.6,4,23.3,57.1,5,51.6,8.9,51.4,15.8,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",4.88,9.37,7.23,-9.35,84168.02,22714569,0
"24","2.1.2","Small-holder farming","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Bathmocercus cerviniventris",3290,7495,"Cisticolidae","Passeriformes","AVIBASE-8EDC9B24",5,1,4,0,3,14.4,8.6,3.6,4,23.3,57.1,5,51.6,8.9,51.4,15.8,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",4.88,9.37,7.23,-9.35,84168.02,22714569,0
"25","3.2","Mining & quarrying","Ongoing","Minority (<50%)","Rapid Declines","Medium Impact: 6",NA,"Bathmocercus cerviniventris",3290,7495,"Cisticolidae","Passeriformes","AVIBASE-8EDC9B24",5,1,4,0,3,14.4,8.6,3.6,4,23.3,57.1,5,51.6,8.9,51.4,15.8,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",4.88,9.37,7.23,-9.35,84168.02,22714569,0
"26","5.3","Logging & wood harvesting","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Bathmocercus cerviniventris",3290,7495,"Cisticolidae","Passeriformes","AVIBASE-8EDC9B24",5,1,4,0,3,14.4,8.6,3.6,4,23.3,57.1,5,51.6,8.9,51.4,15.8,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",4.88,9.37,7.23,-9.35,84168.02,22714569,0
"27","5.3.4","Unintentional effects: (large scale) [harvest]","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Bathmocercus cerviniventris",3290,7495,"Cisticolidae","Passeriformes","AVIBASE-8EDC9B24",5,1,4,0,3,14.4,8.6,3.6,4,23.3,57.1,5,51.6,8.9,51.4,15.8,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",4.88,9.37,7.23,-9.35,84168.02,22714569,0
"28","2.1","Annual & perennial non-timber crops","Ongoing","Majority (50-90%)","Slow, Significant Declines",NA,NA,"Caprimulgus centralasicus",620,1061,"Caprimulgidae","Caprimulgiformes","AVIBASE-0BC7890E",1,1,0,0,1,15.3,7,4.7,2.6,15.2,156,61,95,39.1,106,57.5,"EltonTraits_GenAvg",NA,"NO",NA,NA,"Shrubland",2,NA,"Carnivore","Invertivore","Aerial",NA,NA,NA,NA,NA,22689909,0
"29","2.1.3","Agro-industry farming","Ongoing","Majority (50-90%)","Slow, Significant Declines",NA,NA,"Caprimulgus centralasicus",620,1061,"Caprimulgidae","Caprimulgiformes","AVIBASE-0BC7890E",1,1,0,0,1,15.3,7,4.7,2.6,15.2,156,61,95,39.1,106,57.5,"EltonTraits_GenAvg",NA,"NO",NA,NA,"Shrubland",2,NA,"Carnivore","Invertivore","Aerial",NA,NA,NA,NA,NA,22689909,0
"30","2.3","Livestock farming & ranching","Ongoing","Minority (<50%)","Slow, Significant Declines",NA,NA,"Caprimulgus centralasicus",620,1061,"Caprimulgidae","Caprimulgiformes","AVIBASE-0BC7890E",1,1,0,0,1,15.3,7,4.7,2.6,15.2,156,61,95,39.1,106,57.5,"EltonTraits_GenAvg",NA,"NO",NA,NA,"Shrubland",2,NA,"Carnivore","Invertivore","Aerial",NA,NA,NA,NA,NA,22689909,0
"31","2.3.2","Small-holder grazing, ranching or farming","Ongoing","Minority (<50%)","Slow, Significant Declines",NA,NA,"Caprimulgus centralasicus",620,1061,"Caprimulgidae","Caprimulgiformes","AVIBASE-0BC7890E",1,1,0,0,1,15.3,7,4.7,2.6,15.2,156,61,95,39.1,106,57.5,"EltonTraits_GenAvg",NA,"NO",NA,NA,"Shrubland",2,NA,"Carnivore","Invertivore","Aerial",NA,NA,NA,NA,NA,22689909,0
"32","5.3","Logging & wood harvesting","Ongoing","Minority (<50%)","Slow, Significant Declines",NA,NA,"Caprimulgus centralasicus",620,1061,"Caprimulgidae","Caprimulgiformes","AVIBASE-0BC7890E",1,1,0,0,1,15.3,7,4.7,2.6,15.2,156,61,95,39.1,106,57.5,"EltonTraits_GenAvg",NA,"NO",NA,NA,"Shrubland",2,NA,"Carnivore","Invertivore","Aerial",NA,NA,NA,NA,NA,22689909,0
"33","5.3.3","Unintentional effects: (subsistence/small scale) [harvest]","Ongoing","Minority (<50%)","Slow, Significant Declines",NA,NA,"Caprimulgus centralasicus",620,1061,"Caprimulgidae","Caprimulgiformes","AVIBASE-0BC7890E",1,1,0,0,1,15.3,7,4.7,2.6,15.2,156,61,95,39.1,106,57.5,"EltonTraits_GenAvg",NA,"NO",NA,NA,"Shrubland",2,NA,"Carnivore","Invertivore","Aerial",NA,NA,NA,NA,NA,22689909,0
"34","1.1","Housing & urban areas","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Charadrius dealbatus",1142,2383,"Charadriidae","Charadriiformes","AVIBASE-5E8E69CA",4,2,2,0,3,19.4,10.8,3.3,3.8,25.6,107.7,57.3,50.4,53.2,44.8,42.3,"DataFromSplit",NA,"NO",NA,NA,"Coastal",3,2,"Carnivore","Aquatic predator","Terrestrial",16.02,26.31,22.29,111.54,340626.3,22735615,0
"35","5.4","Fishing & harvesting aquatic resources","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Charadrius dealbatus",1142,2383,"Charadriidae","Charadriiformes","AVIBASE-5E8E69CA",4,2,2,0,3,19.4,10.8,3.3,3.8,25.6,107.7,57.3,50.4,53.2,44.8,42.3,"DataFromSplit",NA,"NO",NA,NA,"Coastal",3,2,"Carnivore","Aquatic predator","Terrestrial",16.02,26.31,22.29,111.54,340626.3,22735615,0
"36","5.4.3","Unintentional effects: (subsistence/small scale) [harvest]","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Charadrius dealbatus",1142,2383,"Charadriidae","Charadriiformes","AVIBASE-5E8E69CA",4,2,2,0,3,19.4,10.8,3.3,3.8,25.6,107.7,57.3,50.4,53.2,44.8,42.3,"DataFromSplit",NA,"NO",NA,NA,"Coastal",3,2,"Carnivore","Aquatic predator","Terrestrial",16.02,26.31,22.29,111.54,340626.3,22735615,0
"37","5.4.4","Unintentional effects: (large scale) [harvest]","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Charadrius dealbatus",1142,2383,"Charadriidae","Charadriiformes","AVIBASE-5E8E69CA",4,2,2,0,3,19.4,10.8,3.3,3.8,25.6,107.7,57.3,50.4,53.2,44.8,42.3,"DataFromSplit",NA,"NO",NA,NA,"Coastal",3,2,"Carnivore","Aquatic predator","Terrestrial",16.02,26.31,22.29,111.54,340626.3,22735615,0
"38","6.1","Recreational activities","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Charadrius dealbatus",1142,2383,"Charadriidae","Charadriiformes","AVIBASE-5E8E69CA",4,2,2,0,3,19.4,10.8,3.3,3.8,25.6,107.7,57.3,50.4,53.2,44.8,42.3,"DataFromSplit",NA,"NO",NA,NA,"Coastal",3,2,"Carnivore","Aquatic predator","Terrestrial",16.02,26.31,22.29,111.54,340626.3,22735615,0
"39","7.2","Dams & water management/use","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Charadrius dealbatus",1142,2383,"Charadriidae","Charadriiformes","AVIBASE-5E8E69CA",4,2,2,0,3,19.4,10.8,3.3,3.8,25.6,107.7,57.3,50.4,53.2,44.8,42.3,"DataFromSplit",NA,"NO",NA,NA,"Coastal",3,2,"Carnivore","Aquatic predator","Terrestrial",16.02,26.31,22.29,111.54,340626.3,22735615,0
"40","7.2.11","Dams (size unknown)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Charadrius dealbatus",1142,2383,"Charadriidae","Charadriiformes","AVIBASE-5E8E69CA",4,2,2,0,3,19.4,10.8,3.3,3.8,25.6,107.7,57.3,50.4,53.2,44.8,42.3,"DataFromSplit",NA,"NO",NA,NA,"Coastal",3,2,"Carnivore","Aquatic predator","Terrestrial",16.02,26.31,22.29,111.54,340626.3,22735615,0
"41","7.2.4","Abstraction of surface water (unknown use)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Charadrius dealbatus",1142,2383,"Charadriidae","Charadriiformes","AVIBASE-5E8E69CA",4,2,2,0,3,19.4,10.8,3.3,3.8,25.6,107.7,57.3,50.4,53.2,44.8,42.3,"DataFromSplit",NA,"NO",NA,NA,"Coastal",3,2,"Carnivore","Aquatic predator","Terrestrial",16.02,26.31,22.29,111.54,340626.3,22735615,0
"42","8.1","Invasive non-native/alien species/diseases (Clostridium botulinum)","Future","Minority (<50%)","Rapid Declines","Low Impact: 4","Clostridium botulinum","Charadrius dealbatus",1142,2383,"Charadriidae","Charadriiformes","AVIBASE-5E8E69CA",4,2,2,0,3,19.4,10.8,3.3,3.8,25.6,107.7,57.3,50.4,53.2,44.8,42.3,"DataFromSplit",NA,"NO",NA,NA,"Coastal",3,2,"Carnivore","Aquatic predator","Terrestrial",16.02,26.31,22.29,111.54,340626.3,22735615,0
"43","8.1.2","Named species (Clostridium botulinum)","Future","Minority (<50%)","Rapid Declines","Low Impact: 4","Clostridium botulinum","Charadrius dealbatus",1142,2383,"Charadriidae","Charadriiformes","AVIBASE-5E8E69CA",4,2,2,0,3,19.4,10.8,3.3,3.8,25.6,107.7,57.3,50.4,53.2,44.8,42.3,"DataFromSplit",NA,"NO",NA,NA,"Coastal",3,2,"Carnivore","Aquatic predator","Terrestrial",16.02,26.31,22.29,111.54,340626.3,22735615,0
"44","9.1","Domestic & urban waste water","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Charadrius dealbatus",1142,2383,"Charadriidae","Charadriiformes","AVIBASE-5E8E69CA",4,2,2,0,3,19.4,10.8,3.3,3.8,25.6,107.7,57.3,50.4,53.2,44.8,42.3,"DataFromSplit",NA,"NO",NA,NA,"Coastal",3,2,"Carnivore","Aquatic predator","Terrestrial",16.02,26.31,22.29,111.54,340626.3,22735615,0
"45","9.1.3","Type Unknown/Unrecorded","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Charadrius dealbatus",1142,2383,"Charadriidae","Charadriiformes","AVIBASE-5E8E69CA",4,2,2,0,3,19.4,10.8,3.3,3.8,25.6,107.7,57.3,50.4,53.2,44.8,42.3,"DataFromSplit",NA,"NO",NA,NA,"Coastal",3,2,"Carnivore","Aquatic predator","Terrestrial",16.02,26.31,22.29,111.54,340626.3,22735615,0
"46","2.1","Annual & perennial non-timber crops","Ongoing","Unknown","Unknown",NA,NA,"Cisticola melanurus",3335,7483,"Cisticolidae","Passeriformes","AVIBASE-388BABD6",4,4,0,0,4,10.7,6.1,2,2.7,16.6,44.8,5.7,39.1,12.7,47.5,8.7,"Dunning",NA,"NO",NA,NA,"Woodland",2,1,"Carnivore","Invertivore","Insessorial",-11.12,-5.22,-8.79,19.45,442014.73,22713459,0
"47","2.1.2","Small-holder farming","Ongoing","Unknown","Unknown",NA,NA,"Cisticola melanurus",3335,7483,"Cisticolidae","Passeriformes","AVIBASE-388BABD6",4,4,0,0,4,10.7,6.1,2,2.7,16.6,44.8,5.7,39.1,12.7,47.5,8.7,"Dunning",NA,"NO",NA,NA,"Woodland",2,1,"Carnivore","Invertivore","Insessorial",-11.12,-5.22,-8.79,19.45,442014.73,22713459,0
"48","2.1.3","Agro-industry farming","Ongoing","Unknown","Unknown",NA,NA,"Cisticola melanurus",3335,7483,"Cisticolidae","Passeriformes","AVIBASE-388BABD6",4,4,0,0,4,10.7,6.1,2,2.7,16.6,44.8,5.7,39.1,12.7,47.5,8.7,"Dunning",NA,"NO",NA,NA,"Woodland",2,1,"Carnivore","Invertivore","Insessorial",-11.12,-5.22,-8.79,19.45,442014.73,22713459,0
"49","5.3","Logging & wood harvesting","Ongoing","Unknown","Unknown",NA,NA,"Cisticola melanurus",3335,7483,"Cisticolidae","Passeriformes","AVIBASE-388BABD6",4,4,0,0,4,10.7,6.1,2,2.7,16.6,44.8,5.7,39.1,12.7,47.5,8.7,"Dunning",NA,"NO",NA,NA,"Woodland",2,1,"Carnivore","Invertivore","Insessorial",-11.12,-5.22,-8.79,19.45,442014.73,22713459,0
"50","5.3.3","Unintentional effects: (subsistence/small scale) [harvest]","Ongoing","Unknown","Unknown",NA,NA,"Cisticola melanurus",3335,7483,"Cisticolidae","Passeriformes","AVIBASE-388BABD6",4,4,0,0,4,10.7,6.1,2,2.7,16.6,44.8,5.7,39.1,12.7,47.5,8.7,"Dunning",NA,"NO",NA,NA,"Woodland",2,1,"Carnivore","Invertivore","Insessorial",-11.12,-5.22,-8.79,19.45,442014.73,22713459,0
"51","5.3.4","Unintentional effects: (large scale) [harvest]","Ongoing","Unknown","Unknown",NA,NA,"Cisticola melanurus",3335,7483,"Cisticolidae","Passeriformes","AVIBASE-388BABD6",4,4,0,0,4,10.7,6.1,2,2.7,16.6,44.8,5.7,39.1,12.7,47.5,8.7,"Dunning",NA,"NO",NA,NA,"Woodland",2,1,"Carnivore","Invertivore","Insessorial",-11.12,-5.22,-8.79,19.45,442014.73,22713459,0
